,LQ Code New,LQ Name,Density Lower Limit,Density Upper Limit,pH Lower Limit,pH Upper Limit,Spindle,Speed,Viscosity Lower Limit,Viscosity Upper Limit,Odor,Appearance,Color Lower Limit,Color Upper Limit,Clarity Lower Limit,Clarity Upper Limit,Liquid Item Status,Solids Lower Limit,Solids Upper Limit,FH First Reading Lower Limit,FH First Reading Upper Limit,FH Second Reading Lower Limit,FH Second Reading Upper Limit,Assumed Density (lb/gal),Comments,Density Ref Only,RAC LSL,RAC USL,RYM LSL,RYM USL,PATH LSL,PATH USL,Viscosity Data Collection Setting,Viscosity Averaging Time (min),End Condition (min),F36,F37,F38,F39,ReviewedDate,ReviewedBy
0,CL-BL1-MX,Blue #1 Color Mix,,,,,N/A,N/A,,,Odorless,Water Thin,N/A,Blue,Clear,Clear,F,,,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
1,CL-BR-MX227-MX,Brown MX227 Color Mix,,,,,N/A,N/A,,,N/A,Liquid,N/A,Brown,Clear,Clear,P,,,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
2,CL-RD33-MX,Red 33 Color Mix,,,,,N/A,N/A,,,N/A,Liquid,Pink,Red,Clear,Clear,P,,,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
3,CL-RD4-MX,Red #4  Color Mix,,,,,N/A,N/A,,,N/A,Liquid,N/A,Red,Clear,Clear,P,,,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
4,CL-VL2-MX,Violet #2 Color Mix,,,,,N/A,N/A,,,Odorless,Water Thin,N/A,Violet,Clear,Clear,F,,,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
5,CL-YL10-MX,Yellow #10 Color Mix,,,,,N/A,N/A,,,N/A,Liquid,Yellow,Orange,Clear,Clear,P,,,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
6,CL-YL5-MX,Yellow 5 Color Mix,,,,,N/A,N/A,,,N/A,Liquid,N/A,Yellow,Clear,Clear,P,,,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
7,CM-ALEX,CM Aloe Extract,,,3.0,5.0,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,F,,,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
8,CM-SPEX,SPA Extracts,,,4.5,6.5,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,F,,,N/A,N/A,N/A,N/A,,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
9,LQCD-DM,LQ DMAT Conditioner,8.2011,8.3511,6.0,8.0,LV64,40,6900.0,12800.0,"Fruity, Gormand",Conditioner,N/A,White,Opaque,Opaque,P,8.03,9.81,N/A,N/A,N/A,N/A,8.2761,8/23/2023 8:10,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
