,JM#,LQ Code,LQ Name,Density (lb/gal),pH,Viscosity (cP),Odor,Appearance,Clarity,Color,Quick Solids (%w/w),Foam Height,Date Tested,Adjustments?,QC Initials,Comments,ProdPush?,SubmittedBy,SubmittedTime,viscSpindle,viscSpeed,released
0,JM00009613,LQSH-FTMS,LQ Natural Flea & Tick Max Strength SH,8.5317,4.76,15480.0,PASS,PASS,PASS,PASS,,,2025-10-07 14:11:21,NO,Javan Quiroz,,,Javan Quiroz,2025-10-07 14:11:36,LV63,3,PASS
1,JM00009589,LQSH-MDAI-RT,LQ Medicated Anti Itch Shampoo Retail,8.3478,3.89,4040.0,PASS,PASS,PASS,PASS,,,2025-10-08 08:07:37,NO,Javan Quiroz,,,Javan Quiroz,2025-10-08 08:07:54,LV63,6,PASS
2,JM00009606,LQSH-CM-CONC,LQ Spa Lavish Comfort Shampoo Conc,8.436,6.4,14480.0,PASS,PASS,PASS,PASS,,,2025-10-08 09:04:17,YES,Javan Quiroz,,,Javan Quiroz,2025-10-08 09:04:31,LV63,3,PASS
3,JM00009616,LQSH-AL-RT,LQ Aloe and Coconut Shampoo Retail,8.4838,7.0,8400.0,PASS,PASS,PASS,PASS,,,2025-10-09 08:15:24,YES,Javan Quiroz,,,Javan Quiroz,2025-10-09 08:16:26,LV63,6,PASS
4,JM00009620,LQGL-BASE,LQ Base- Clean Teeth Gel & Brushing Gel,8.3809,5.54,61440.0,PASS,PASS,PASS,PASS,,,2025-10-09 13:59:27,NO,Javan Quiroz,,,Javan Quiroz,2025-10-09 13:59:39,LV64,2.5,PASS
5,JM00009615,LQOX-MDAISP,LQ OxyMed Anti-Itch Medic Soothing Spray,8.4131,4.12,,PASS,PASS,PASS,PASS,,,2025-10-08 00:00:00,NO,May Hutt,,,May Hutt,2025-10-09 15:06:39,,,PASS
6,JM00009622,LQSH-WA,SH Watermelon,8.6975,7.08,8400.0,PASS,PASS,PASS,PASS,,,2025-10-10 08:15:52,YES,Javan Quiroz,,,Javan Quiroz,2025-10-10 08:16:09,LV63,6,PASS
7,JM00009619,LQWA-HJ,LQ WA + Hip & Joint Support,8.6576,3.58,,PASS,PASS,PASS,PASS,,,2025-10-10 13:35:42,NO,Javan Quiroz,,,Javan Quiroz,2025-10-10 13:36:01,0,0,PASS
8,JM00009624,LQSH-ESG,Endurascent Sandalwood Grapefruit SH,8.7298,6.86,11200.0,PASS,PASS,PASS,PASS,,,2025-10-10 13:54:22,NO,Javan Quiroz,,,Javan Quiroz,2025-10-10 13:54:43,LV63,6,PASS
9,JM00009627,LQSH-GN-RT,LQ Gentle Coconut Puppy Shampoo Retail,8.6094,6.77,5700.0,PASS,PASS,PASS,PASS,,,2025-10-10 14:59:39,NO,Javan Quiroz,,,Javan Quiroz,2025-10-10 14:59:55,LV63,6,PASS
10,JM00009637,LQGL-PB,LQ Gel - Peanut Butter Gel For Dogs,8.3327,5.66,45120.0,PASS,PASS,PASS,PASS,,,2025-10-13 14:31:27,NO,Javan Quiroz,,,Javan Quiroz,2025-10-13 14:31:40,LV64,2.5,PASS
11,JM00009628,LQSH-TD-R2,LQ PF - Thick Double Shampoo R2,8.6153,6.27,8920.0,PASS,PASS,PASS,PASS,,,2025-10-13 14:57:50,NO,Javan Quiroz,,,Javan Quiroz,2025-10-13 14:58:03,LV63,3,PASS
12,JM00009612,LQSH-PR-RT,LQ Spa Pure Shampoo Retail,8.5278,7.3,3612.0,PASS,PASS,PASS,PASS,,,2025-10-13 16:40:56,NO,May Hutt,,,May Hutt,2025-10-13 16:41:30,LV62,2.5,PASS
13,JM00009631,LQSH-FTMS,LQ Natural Flea & Tick Max Strength SH,8.5756,5.16,16040.0,PASS,PASS,PASS,PASS,,,2025-10-13 16:41:37,NO,May Hutt,,,May Hutt,2025-10-13 16:42:06,LV63,3,PASS
14,jm00002793,CM-SPEX,SPA Extracts,,5.0,,,,,,,,2020-04-08 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
15,jm00003100,CM-SPEX,SPA Extracts,,5.07,,,,,,,,2020-06-11 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
16,JM00003370,LQPL-MSSH-SS,LQ PL Moisturizing Shampoo SS,,8.36,,PASS,PASS,PASS,PASS,,null,2020-10-23 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-15 14:33:52,,,
17,JM00003392,LQFS-IRSP,LQ FS Itch Relief Spray,,4.86,,PASS,PASS,PASS,PASS,,null,2020-09-22 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-15 14:50:41,,,
